drug,targets,S1,S2,S3,S4,S5,S6,S7,S8
D00002,hsa10,1,0.16129,0.16129,0.16129,36,0.0206773130048182,0.0106475360039224,0.0295041418370625
D00448,hsa10,1,0.16129,0.16129,0.16129,10,0.0181508962312981,0.0135714426999456,0.0227653634166554
D00037,hsa100,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D00155,hsa100,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D00021,hsa10056,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1017,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1018,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D01441,hsa10188,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1019,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1020,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1021,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1022,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1024,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D02880,hsa1025,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D00279,hsa10269,1,0.066667,0.066667,0.066667,10,0.0234746075126009,0.0132818358923437,0.0414821454054037
D00043,hsa10279,1,0,0,0,50,0.0207549198712357,0.0104197703781688,0.151917771955646
D00160,hsa10279,1,0,0,0,41,0.0190061373234582,0.0104197703781688,0.0301633393067148
D00039,hsa10295,1,0.7,0.7,0.7,6,0.0183062786589685,0.0146566449477789,0.0214188047052175
D00065,hsa10295,1,0.7,0.7,0.7,7,0.0178299932704483,0.0114303676083809,0.0214188047052175
D00136,hsa10327,1,0.219512,0.219512,0.219512,5,0.289432010051799,0.0165258404142828,0.49916591543847
D02323,hsa10327,1,0.219512,0.219512,0.219512,1,0.49916591543847,0.49916591543847,0.49916591543847
D00107,hsa1033,1,0.222222,0.222222,0.222222,55,0.0327341902606605,0.0162648767528878,0.0641180807760105
D00184,hsa1033,1,0.222222,0.222222,0.222222,48,0.0337557873951981,0.0162648767528878,0.0641180807760105
D01441,hsa10461,7,0.335045714285714,0.285714,0.377358,95,0.0909786710104738,0.0093077199739054,0.353965952222335
D01977,hsa10461,7,0.452642,0.287671,0.717949,52,0.0990474892326804,0.0137925894466649,0.353965952222335
D03218,hsa10461,7,0.289748428571429,0.197368,0.347826,52,0.0990474892326804,0.0137925894466649,0.353965952222335
D03252,hsa10461,7,0.403719857142857,0.230769,0.595238,52,0.0990474892326804,0.0137925894466649,0.353965952222335
D03350,hsa10461,7,0.431172285714286,0.253165,0.717949,52,0.0990474892326804,0.0137925894466649,0.353965952222335
D04023,hsa10461,7,0.381437285714286,0.273973,0.525,52,0.0990474892326804,0.0137925894466649,0.353965952222335
D04024,hsa10461,7,0.281852428571429,0.22973,0.3125,52,0.0990474892326804,0.0137925894466649,0.353965952222335
D04025,hsa10461,7,0.325007857142857,0.272727,0.361702,52,0.0990474892326804,0.0137925894466649,0.353965952222335
D00217,hsa10549,2,0.205828,0.06383,0.347826,16,0.0933650502190458,0.0162148770734857,0.60024602890111
D00577,hsa10549,2,0.191457,0.035088,0.347826,15,0.101642484771144,0.0170267682024587,0.60024602890111
D03670,hsa10549,2,0.049459,0.035088,0.06383,54,0.0415837668988804,0.0141358204546922,0.60024602890111
D01223,hsa1056,1,0.2,0.2,0.2,36,0.0280019723149768,0.00962152751133158,0.204925058129206
D04028,hsa1056,1,0.2,0.2,0.2,8,0.0146353366542729,0.0120796699093212,0.0171516652585536
D00021,hsa10667,1,0.2,0.2,0.2,8,0.0146353366542729,0.0120796699093212,0.0171516652585536
D00002,hsa107,2,0.4444445,0.4,0.488889,36,0.0712704761528874,0.00965289373452198,0.326242233993044
D00045,hsa107,2,0.4444445,0.4,0.488889,36,0.0712704761528874,0.00965289373452198,0.326242233993044
D02769,hsa107,2,0.6194445,0.488889,0.75,10,0.0114079401790752,0.00852412958057235,0.0162344423899987
D01276,hsa10720,2,0.6194445,0.488889,0.75,10,0.0114079401790752,0.00852412958057235,0.0162344423899987
D00043,hsa10747,1,0,0,0,50,0.066604265356663,0.0099138998949309,0.148573594576125
D00160,hsa10747,1,0,0,0,41,0.0877587273271976,0.0099138998949309,0.148573594576125
D00002,hsa108,1,0,0,0,41,0.0877587273271976,0.0099138998949309,0.148573594576125
D00900,hsa10825,2,0.287367,0.282051,0.292683,3,0.246235074938274,0.0852333088385665,0.340482033209906
D00902,hsa10825,2,0.3616135,0.282051,0.441176,3,0.246235074938274,0.0852333088385665,0.340482033209906
D03829,hsa10825,2,0.3669295,0.292683,0.441176,3,0.246235074938274,0.0852333088385665,0.340482033209906
D00227,hsa10846,19,0.284142210526316,0.078431,0.470588,18,0.0912316844963039,0.0206913421628012,0.265332267023777
D00231,hsa10846,19,0.255521631578947,0.147059,0.666667,18,0.0912316844963039,0.0206913421628012,0.265332267023777
D00371,hsa10846,19,0.338048736842105,0.117647,0.8,18,0.0912316844963039,0.0206913421628012,0.265332267023777
D00417,hsa10846,19,0.288796473684211,0.169811,0.666667,46,0.0522688050417783,0.00830577974122326,0.265332267023777
D00501,hsa10846,19,0.310409947368421,0.097561,0.619048,51,0.0424752150606605,0.00830577974122326,0.216900722139899
D00528,hsa10846,19,0.347854421052632,0.114286,0.8,88,0.0299766857684424,0.0067358528452362,0.216900722139899
D00691,hsa10846,19,0.320571421052632,0.102564,0.684211,14,0.0695925477480951,0.0206913421628012,0.20031532088732
D01133,hsa10846,19,0.274862789473684,0.175,0.459459,18,0.0912316844963039,0.0206913421628012,0.265332267023777
D01198,hsa10846,19,0.283325842105263,0.179487,0.432432,18,0.0912316844963039,0.0206913421628012,0.265332267023777
D01690,hsa10846,19,0.271227631578947,0.159091,0.459459,18,0.0912316844963039,0.0206913421628012,0.265332267023777
